name,location,state,courses,clusters
Govt. Holkar Science College,Indore,Madhya Pradesh,"B.Sc., BCA, M.Sc.","Software & Tech, Medical & Healthcare, Engineering & Core"
Atal Bihari Vajpayee Govt Arts & Commerce,Indore,Madhya Pradesh,"B.A., B.Com., BBA","Business & Finance, Arts & Design, Education & Social"
SGSITS (Govt. Aided),Indore,Madhya Pradesh,"B.Tech., M.Tech., MCA","Engineering & Core, Software & Tech"
Govt. Ashtang Ayurvedic College,Indore,Madhya Pradesh,"BAMS, MD Ayurveda","Medical & Healthcare"
Institute for Excellence in Higher Education (IEHE),Bhopal,Madhya Pradesh,"B.A., B.Sc., B.Com. (Hons)","Business & Finance, Arts & Design, Education & Social"
Govt. Motilal Vigyan Mahavidyalaya (MVM),Bhopal,Madhya Pradesh,"B.Sc., M.Sc., Ph.D.","Software & Tech, Engineering & Core, Agriculture & Nature"
Govt. Geetanjali Girls College,Bhopal,Madhya Pradesh,"B.A., B.Com., B.Sc.","Business & Finance, Arts & Design, Education & Social"
Maulana Azad National Institute of Technology (MANIT),Bhopal,Madhya Pradesh,"B.Tech., B.Arch, MCA","Engineering & Core, Software & Tech"
Govt. Kamla Raja Girls Post Graduate College,Gwalior,Madhya Pradesh,"B.A., B.Sc., B.Com., Home Science","Business & Finance, Education & Social, Arts & Design"
Govt. Science College,Gwalior,Madhya Pradesh,"B.Sc., M.Sc., BCA","Software & Tech, Medical & Healthcare, Engineering & Core"
Madhav Institute of Technology & Science (MITS),Gwalior,Madhya Pradesh,"B.Tech., M.Tech, B.Arch","Engineering & Core, Software & Tech, Arts & Design"
Govt. Science College,Jabalpur,Madhya Pradesh,"B.Sc., BCA, M.Sc.","Software & Tech, Medical & Healthcare, Agriculture & Nature"
Govt. Mahakoshal Arts & Commerce College,Jabalpur,Madhya Pradesh,"B.A., B.Com., M.A.","Business & Finance, Education & Social, Arts & Design"
Jabalpur Engineering College (JEC),Jabalpur,Madhya Pradesh,"B.Tech., M.E., MCA","Engineering & Core, Software & Tech"
Govt. J.S.T. PG College,Balaghat,Madhya Pradesh,"B.Sc., B.A., B.Com., M.Sc.","Software & Tech, Business & Finance, Education & Social, Arts & Design"
Govt. Kamla Nehru Girls College,Balaghat,Madhya Pradesh,"B.A., B.Sc. (Home Science)","Education & Social, Arts & Design"
Govt. Polytechnic College,Balaghat,Madhya Pradesh,"Diploma in Mechanical, Diploma in Civil, Diploma in CS","Software & Tech, Engineering & Core"
Govt. ITI,Balaghat,Madhya Pradesh,"COPA, Electrician, Fitter","Software & Tech, Engineering & Core"
College of Engineering Pune (COEP),Pune,Maharashtra,"B.Tech., M.Tech.","Engineering & Core, Software & Tech"
Government College of Engineering,Nagpur,Maharashtra,"B.Tech.","Engineering & Core, Software & Tech"
Government Institute of Science,Nagpur,Maharashtra,"B.Sc., M.Sc.","Software & Tech, Medical & Healthcare"
Sydenham College of Commerce and Economics,Mumbai,Maharashtra,"B.Com, BMS, BBI","Business & Finance"
Sir J.J. School of Art,Mumbai,Maharashtra,"BFA, MFA","Arts & Design"
Veermata Jijabai Technological Institute (VJTI),Mumbai,Maharashtra,"B.Tech., MCA, Diploma","Engineering & Core, Software & Tech"
Delhi Technological University (DTU),New Delhi,Delhi,"B.Tech., M.Tech., BBA","Engineering & Core, Software & Tech, Business & Finance"
Delhi College of Arts & Commerce,New Delhi,Delhi,"B.A., B.Com.","Business & Finance, Arts & Design, Education & Social"
Shaheed Rajguru College of Applied Sciences for Women,New Delhi,Delhi,"B.Sc. (Hons), BMS","Software & Tech, Medical & Healthcare"
Harcourt Butler Technical University (HBTU),Kanpur,Uttar Pradesh,"B.Tech., M.Tech, MCA","Engineering & Core, Software & Tech"
Institute of Engineering and Technology (IET),Lucknow,Uttar Pradesh,"B.Tech., MCA","Engineering & Core, Software & Tech"
National PG College,Lucknow,Uttar Pradesh,"B.A., B.Com., B.Sc.","Business & Finance, Arts & Design, Education & Social"
Government Degree College,Noida,Uttar Pradesh,"B.A., B.Com., B.Sc.","Business & Finance, Education & Social, Medical & Healthcare"
University Visvesvaraya College of Engineering (UVCE),Bengaluru,Karnataka,"B.Tech., B.Arch","Engineering & Core, Software & Tech, Arts & Design"
Maharani Cluster University,Bengaluru,Karnataka,"B.A., B.Com., B.Sc.","Business & Finance, Education & Social, Arts & Design"
College of Engineering Guindy (CEG),Chennai,Tamil Nadu,"B.E., B.Tech., MCA","Engineering & Core, Software & Tech"
Presidency College,Chennai,Tamil Nadu,"B.A., B.Sc., B.Com.","Business & Finance, Arts & Design, Education & Social"
Madras Medical College,Chennai,Tamil Nadu,"MBBS, B.Pharma, B.Sc. Nursing","Medical & Healthcare"
Government Arts College,Coimbatore,Tamil Nadu,"B.A., B.Sc., B.Com.","Business & Finance, Education & Social"
Government College of Physical Education,Hyderabad,Telangana,"B.P.Ed., M.P.Ed.","Sports & Fitness, Education & Social"
Govt. College of Agriculture,Indore,Madhya Pradesh,"B.Sc. Agriculture, M.Sc. Agriculture","Agriculture & Nature"
National Sports University,Imphal,Manipur,"B.Sc. Sports Coaching, B.P.Ed.","Sports & Fitness"